removed_factor,kendall_tau,spearman_r,top10_overlap,mean_rank_shift,max_rank_shift
growth_score,0.7766534914361002,0.9341345015054009,6,22.26086956521739,82.0
ESG_composite,0.8044123187914426,0.9434444190434721,9,19.615942028985508,78.0
financial_score,0.848221343873518,0.965337823375808,9,15.27536231884058,67.0
risk_adjusted_score,0.84901185770751,0.9681733993521783,9,15.521739130434783,56.0
stability_score,0.8853227931488802,0.9810356587377465,8,11.391304347826088,51.0
operational_score,0.9254281949934126,0.9919824203421755,9,7.608695652173913,33.0
sector_position,0.9433465085639,0.9951992694168178,9,5.934782608695652,28.0
market_score,0.9556785243741767,0.9969018706924845,10,4.746376811594203,21.0
value_score,0.9592094861660081,0.9973921604999929,10,4.456521739130435,16.0
similarity_rank,1.0,1.0,10,0.0,0.0
